Date,Close,High,Low,Open,Volume
2024-06-03,34.844879150390625,34.89394562118781,34.47199942640595,34.75656474350032,18190800
2024-06-04,33.539791107177734,34.305180103312686,33.31409957609297,34.305180103312686,32854000
2024-06-05,34.13836669921875,34.21686631249128,33.44166625472353,33.78510908137721,17602600
2024-06-06,35.33551025390625,35.35513609154392,34.12854931353314,34.30517810902636,28039600
2024-06-07,32.911781311035156,34.1579940775793,32.862718582623195,34.08930550915331,50927700
2024-06-10,33.392601013183594,33.451478532737575,32.823466630479935,33.078595062054774,17128500
2024-06-11,33.11784362792969,33.16690635132189,32.715523306920225,33.16690635132189,15358000
2024-06-12,33.363162994384766,34.14817784560343,33.22578586332726,33.853797744302184,24769000
2024-06-13,32.529083251953125,33.42203828764519,32.34263966371518,33.19634676689289,23431300
2024-06-14,32.78421401977539,32.91178010356331,32.34264199377576,32.901965312293264,17444700
2024-06-17,32.578147888183594,32.725336066059164,32.22489027208855,32.58795893607688,13690900
2024-06-18,33.068782806396484,33.20615993709387,32.45058197501219,32.55852221863044,15535100
2024-06-20,33.902862548828125,34.13836889025287,33.235598948578705,33.431853609224945,20773000
2024-06-21,33.353355407714844,33.824364367325785,33.16691178772024,33.765486843656994,24022300
2024-06-24,33.608482360839844,33.932303111731706,33.48091627019338,33.63791924974045,18740000
2024-06-25,33.20616149902344,33.461289933283986,33.17672461055967,33.43185304482022,11218300
2024-06-26,33.1865348815918,33.26503823998461,32.65664844217878,32.72533700914941,13325500
2024-06-27,33.5888557434082,33.78511039911323,33.52016717539838,33.559418855188625,11931000
2024-06-28,33.29447555541992,33.951924345796826,33.0982209001632,33.85379888979156,15818700
2024-07-01,33.255226135253906,33.77529782526136,33.17672651376526,33.45148080384521,9041000
2024-07-02,33.382789611816406,33.70660660782302,33.019720936522276,33.2257866379125,12883000
2024-07-03,34.61918640136719,34.89394440391105,33.87342323616765,33.90286012302212,21553200
2024-07-05,35.59064483642578,35.84577325668954,35.1883244954259,35.20795033440712,22021900
2024-07-08,35.423828125,35.48270564368601,34.844878959282454,35.18832553674827,16419200
2024-07-09,35.43363952636719,35.68876792977206,35.158885285277975,35.45326536405153,8215200
2024-07-10,36.35603713989258,36.473788441220165,35.845776509811195,35.85559130181555,20498400
2024-07-11,37.376556396484375,37.43543391561523,36.336409351316384,37.21955342204828,27454300
2024-07-12,37.455055236816406,37.592436111944814,36.944798387895275,36.944798387895275,16263300
2024-07-15,37.23918151855469,37.85738240553168,36.984049330105464,37.484498914930874,20303000
2024-07-16,38.54426574707031,38.58351742645236,37.386367408023226,37.55318517377383,24694000
2024-07-17,37.71999740600586,38.67182999799045,37.66112363297324,38.426512628365224,23583000
2024-07-18,37.160675048828125,37.96531574222527,36.93498351221635,37.96531574222527,17062500
2024-07-19,36.689666748046875,37.00367269493726,36.10090653343895,36.16959510036834,22858600
2024-07-22,36.7485466003418,36.876112694130896,36.27753765009712,36.611169457759566,15249200
2024-07-23,36.7485466003418,36.856486853298236,36.46397752313781,36.71910596746961,8238400
2024-07-24,36.53266143798828,37.66112281093141,36.5032245521145,37.11161056739674,20726900
2024-07-25,35.512142181396484,35.87521459484584,35.22757686866751,35.58083074756342,31714300
2024-07-26,35.79671096801758,36.07146523061792,35.62989694950911,35.835962646459365,15901400
2024-07-29,35.95371627807617,36.01259379957006,35.38458187662056,35.91446459708025,10107100
2024-07-30,36.257911682128906,36.3364113019379,35.69858832172168,36.17940831907353,12735900
2024-07-31,37.21955108642578,37.2882396494783,36.699479468100705,36.934982043353365,26227500
2024-08-01,36.57191467285156,37.494306654240376,36.10090576257348,37.23917823155703,18198600
2024-08-02,35.79671096801758,37.34711857725342,35.423827509312765,37.052734732186096,27344500
2024-08-05,34.67806625366211,34.92338364262598,33.23559880871576,33.657545017193314,28615600
2024-08-06,34.9626350402832,35.364955405198074,34.26593081639714,34.49162610647406,14294700
2024-08-07,34.05986404418945,35.571019999081216,33.932301702088594,35.42382807420036,17663300
2024-08-08,34.884132385253906,35.090198096104594,34.08930643104516,34.530874741940536,16675700
2024-08-09,35.168701171875,35.21776390121422,34.55050030111114,35.168701171875,9773600
2024-08-12,36.20884704589844,36.41491274820244,35.38458049343623,35.47289490060169,23084600
2024-08-13,36.67985534667969,36.79760663981819,36.06165450702183,36.11071723389236,13088400
2024-08-14,36.414913177490234,36.50322758569681,35.88502672825077,36.40509838588605,11565000
2024-08-15,36.5915412902832,36.797606991054025,35.963529396555266,36.454164156435986,14414800
2024-08-16,37.769065856933594,37.769065856933594,36.954610350271,37.17049084471095,25966100
2024-08-19,38.485389709472656,38.5148265956561,37.445242726454545,37.5041202420674,21162600
2024-08-20,38.76014709472656,39.22134497951528,38.43632634755672,38.91715007246903,21548600
