Date,Close,High,Low,Open,Volume
2024-06-03,71.83000183105469,73.93000030517578,71.76000213623047,73.93000030517578,5763800
2024-06-04,71.08999633789062,71.44999694824219,70.44000244140625,70.95999908447266,2421100
2024-06-05,71.88999938964844,71.9800033569336,70.76000213623047,71.4000015258789,2058500
2024-06-06,73.26000213623047,73.47000122070312,71.95999908447266,72.12000274658203,1933300
2024-06-07,73.0199966430664,73.91999816894531,72.95999908447266,73.55999755859375,2049500
2024-06-10,75.45999908447266,75.55000305175781,73.55999755859375,73.77999877929688,4020300
2024-06-11,75.51000213623047,75.98999786376953,74.91000366210938,75.33999633789062,1891700
2024-06-12,75.9800033569336,76.91999816894531,75.56999969482422,76.83000183105469,2465300
2024-06-13,75.73999786376953,76.5199966430664,75.69000244140625,76.30999755859375,1685400
2024-06-14,76.08000183105469,76.77999877929688,75.83999633789062,76.62000274658203,2347100
2024-06-17,77.79000091552734,77.9800033569336,76.55000305175781,76.66000366210938,2589800
2024-06-18,78.66999816894531,78.83000183105469,77.76000213623047,77.87999725341797,1757300
2024-06-20,79.41000366210938,79.52999877929688,78.8499984741211,79.27999877929688,1446500
2024-06-21,78.6500015258789,79.79000091552734,78.4000015258789,79.44000244140625,1525500
2024-06-24,79.69999694824219,79.80000305175781,78.48999786376953,78.5199966430664,1402400
2024-06-25,78.9000015258789,79.83000183105469,78.75,79.47000122070312,1268100
2024-06-26,78.75,79.55000305175781,78.2699966430664,78.94000244140625,1581900
2024-06-27,79.91999816894531,80.02999877929688,79.22000122070312,79.69999694824219,1785700
2024-06-28,79.58999633789062,80.04000091552734,79.08000183105469,80.02999877929688,1359600
2024-07-01,81.54000091552734,81.69000244140625,79.81999969482422,80.20999908447266,2272800
2024-07-02,81.11000061035156,82.0199966430664,80.83000183105469,81.9800033569336,1182500
2024-07-03,81.2699966430664,81.5999984741211,80.56999969482422,80.94999694824219,734700
2024-07-05,81.30999755859375,82.5999984741211,81.2300033569336,82.01000213623047,1979700
2024-07-08,80.41999816894531,81.0199966430664,80.29000091552734,80.58999633789062,2029600
2024-07-09,79.7699966430664,80.6500015258789,79.45999908447266,80.12000274658203,1913000
2024-07-10,80.4800033569336,80.69000244140625,79.18000030517578,79.41999816894531,2291900
2024-07-11,80.94000244140625,80.98999786376953,79.7300033569336,79.93000030517578,2998200
2024-07-12,80.25,81.31999969482422,80.11000061035156,81.25,3003800
2024-07-15,80.12000274658203,80.37999725341797,79.56999969482422,80.26000213623047,2206700
